id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
1,"Computer Networks","Easy","What is the main purpose of a computer network?","To connect devices and share data/resources","To only store database records","To only design web pages","To compile programs","A","To connect devices and share data/resources","A computer network connects devices so they can communicate and share resources."
2,"Computer Networks","Easy","How many layers are there in the OSI model?","4","5","7","8","C","7","The OSI model has 7 layers."
3,"Computer Networks","Easy","Which is the lowest layer of the OSI model?","Application layer","Transport layer","Network layer","Physical layer","D","Physical layer","The Physical layer deals with transmission of raw bits over a medium."
4,"Computer Networks","Easy","Which OSI layer is responsible for routing packets between networks?","Data Link layer","Network layer","Session layer","Presentation layer","B","Network layer","The Network layer handles logical addressing and routing."
5,"Computer Networks","Easy","Which OSI layer is responsible for end-to-end delivery?","Transport layer","Physical layer","Application layer","Data Link layer","A","Transport layer","The Transport layer provides end-to-end communication using protocols like TCP and UDP."
6,"Computer Networks","Easy","Which OSI layer is closest to the user?","Application layer","Physical layer","Network layer","Data Link layer","A","Application layer","The Application layer provides network services directly to user applications."
7,"Computer Networks","Easy","TCP stands for:","Transmission Control Protocol","Transfer Connection Port","Transport Control Process","Transmission Code Packet","A","Transmission Control Protocol","TCP is a connection-oriented transport protocol."
8,"Computer Networks","Easy","UDP stands for:","User Datagram Protocol","Unified Data Process","Universal Delivery Port","User Data Path","A","User Datagram Protocol","UDP is a connectionless transport protocol."
9,"Computer Networks","Easy","Which protocol is connection-oriented?","TCP","UDP","IP","ARP","A","TCP","TCP establishes a connection before data transfer."
10,"Computer Networks","Easy","Which protocol is connectionless?","TCP","UDP","HTTPS","SMTP","B","UDP","UDP sends datagrams without establishing a connection."
11,"Computer Networks","Easy","Which protocol is generally more reliable?","UDP","TCP","ARP","ICMP only","B","TCP","TCP provides reliability using acknowledgements, sequencing, and retransmission."
12,"Computer Networks","Easy","Which protocol is usually faster but less reliable?","TCP","UDP","HTTPS","FTP","B","UDP","UDP has lower overhead because it does not provide TCP-like reliability."
13,"Computer Networks","Easy","IP address is mainly used to:","Identify a device on a network","Style a web page","Store passwords","Create database tables","A","Identify a device on a network","An IP address identifies a device logically in a network."
14,"Computer Networks","Easy","MAC address belongs to which OSI layer?","Physical layer","Data Link layer","Network layer","Application layer","B","Data Link layer","MAC addresses are used at the Data Link layer."
15,"Computer Networks","Easy","Which protocol maps an IP address to a MAC address?","DNS","ARP","DHCP","FTP","B","ARP","ARP resolves an IP address to its corresponding MAC address in a local network."
16,"Computer Networks","Easy","DNS is used to:","Convert domain names to IP addresses","Encrypt passwords","Assign MAC addresses","Compress files","A","Convert domain names to IP addresses","DNS resolves human-readable domain names into IP addresses."
17,"Computer Networks","Easy","DHCP is used to:","Automatically assign IP addresses","Convert HTML to CSS","Encrypt network packets","Create email accounts","A","Automatically assign IP addresses","DHCP dynamically assigns IP configuration to devices."
18,"Computer Networks","Easy","HTTP commonly uses which port?","21","25","80","443","C","80","HTTP commonly runs on port 80."
19,"Computer Networks","Easy","HTTPS commonly uses which port?","21","53","80","443","D","443","HTTPS commonly runs on port 443."
20,"Computer Networks","Easy","DNS commonly uses which port?","53","80","110","143","A","53","DNS commonly uses port 53."
21,"Computer Networks","Easy","FTP commonly uses which port for control connection?","21","22","25","443","A","21","FTP control connection commonly uses port 21."
22,"Computer Networks","Easy","SMTP is mainly used for:","Sending emails","Receiving web pages","Resolving domain names","Assigning IP addresses","A","Sending emails","SMTP is used for sending emails."
23,"Computer Networks","Easy","Which protocol is used for secure remote login?","FTP","SSH","SMTP","POP3","B","SSH","SSH provides secure remote login and command execution."
24,"Computer Networks","Easy","LAN stands for:","Local Area Network","Large Access Node","Logical Application Network","Linked Address Name","A","Local Area Network","LAN connects devices within a limited area like an office or building."
25,"Computer Networks","Easy","WAN stands for:","Wide Area Network","Wireless Access Node","Web Application Network","Wide Address Name","A","Wide Area Network","WAN connects networks across large geographic areas."
26,"Computer Networks","Easy","A router is mainly used to:","Connect different networks and route packets","Only connect keyboard to computer","Only display web pages","Only store local files","A","Connect different networks and route packets","Routers forward packets between different networks."
27,"Computer Networks","Easy","A switch is mainly used to:","Connect devices within a LAN","Convert domain names to IP","Assign public IP addresses","Encrypt HTTP traffic","A","Connect devices within a LAN","A switch connects devices in a local network and forwards frames based on MAC addresses."
28,"Computer Networks","Easy","A firewall is mainly used to:","Control incoming and outgoing network traffic","Increase monitor brightness","Create database indexes","Convert IP to MAC","A","Control incoming and outgoing network traffic","A firewall filters traffic based on security rules."
29,"Computer Networks","Easy","VPN stands for:","Virtual Private Network","Verified Public Node","Virtual Packet Number","Variable Port Network","A","Virtual Private Network","VPN creates a secure tunnel over a public network."
30,"Computer Networks","Easy","Ping command mainly uses which protocol?","ICMP","SMTP","FTP","DHCP","A","ICMP","Ping uses ICMP Echo Request and Echo Reply messages."
