id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
1,"Reasoning","Medium","Find the next number: 3, 6, 12, 24, ?","30","36","48","54","C","48","Each number is multiplied by 2."
2,"Reasoning","Medium","Find the missing number: 4, 9, 16, 25, ?","30","36","40","49","B","36","These are squares: 2², 3², 4², 5², 6²."
3,"Reasoning","Medium","If A is coded as 1 and Z is coded as 26, what is the value of BANK?","28","29","30","31","A","28","B=2, A=1, N=14, K=11, total = 28."
4,"Reasoning","Medium","A person walks 5 km North, then 3 km East. In which direction is he from the starting point?","North-East","North-West","South-East","South-West","A","North-East","He moved north and east from the starting point."
5,"Reasoning","Medium","If PENCIL is coded as QFODJM, then PAPER is coded as:","QBQFS","QBQFR","OZODQ","QBODQ","A","QBQFS","Each letter is shifted by one position forward."
6,"Reasoning","Medium","In a row of 25 students, Arun is 10th from the left. What is his position from the right?","14th","15th","16th","17th","C","16th","Position from right = 25 - 10 + 1 = 16."
7,"Reasoning","Medium","Find the odd one out.","January","March","May","Sunday","D","Sunday","January, March, and May are months; Sunday is a day."
8,"Reasoning","Medium","Complete the analogy: Bird : Fly :: Fish : ?","Run","Swim","Walk","Jump","B","Swim","Birds fly; fish swim."
9,"Reasoning","Medium","If all roses are flowers and some flowers are red, which conclusion definitely follows?","All roses are red","Some roses are red","All roses are flowers","No flower is red","C","All roses are flowers","The first statement directly says all roses are flowers."
10,"Reasoning","Medium","Find the next term: AZ, BY, CX, DW, ?","EV","FU","EX","EW","A","EV","First letter increases A,B,C,D,E; second letter decreases Z,Y,X,W,V."
11,"Reasoning","Medium","If 2 is related to 8, 3 is related to 27, then 4 is related to:","16","32","64","81","C","64","The relation is cube: 2³=8, 3³=27, 4³=64."
12,"Reasoning","Medium","A clock shows 3:00. What is the angle between hour and minute hands?","60°","75°","90°","120°","C","90°","At 3:00, the hands are at 3 and 12, forming 90°."
13,"Reasoning","Medium","Which number is missing: 1, 1, 2, 3, 5, ?","6","7","8","9","C","8","This is Fibonacci series: each term is sum of previous two."
14,"Reasoning","Medium","If RIGHT is coded as TKIJV, then LEFT is coded as:","NGHV","NGFT","MFGU","NGFU","A","NGHV","Each letter is shifted by two positions forward."
15,"Reasoning","Medium","Statement: All books are pages. Some pages are covers. Conclusion: Some books are covers.","Definitely true","Definitely false","Cannot be determined","None of these","C","Cannot be determined","There is no definite relation between books and covers."
16,"Reasoning","Medium","Ravi is older than Kumar. Kumar is older than Bala. Bala is older than Mani. Who is the youngest?","Ravi","Kumar","Bala","Mani","D","Mani","Order: Ravi > Kumar > Bala > Mani."
17,"Reasoning","Medium","Find the missing number: 7, 14, 28, 56, ?","84","98","112","120","C","112","Each number is multiplied by 2."
18,"Reasoning","Medium","If MOBILE is coded as FMJCPN, then CHARGE is coded as:","FHSBID","FHSBJC","FHSDIB","FISBID","A","FHSBID","The word is reversed and each letter is shifted by one position forward."
19,"Reasoning","Medium","A is the father of B. B is the mother of C. How is A related to C?","Father","Grandfather","Brother","Uncle","B","Grandfather","A is the father of C's mother, so A is C's grandfather."
20,"Reasoning","Medium","Choose the word that does not belong.","Lion","Tiger","Leopard","Cow","D","Cow","Lion, Tiger, and Leopard are wild carnivores; Cow is domestic herbivore."
21,"Quantitative Aptitude","Medium","A shopkeeper buys an item for Rs.500 and sells it for Rs.600. Find profit percentage.","10%","15%","20%","25%","C","20%","Profit = 100, profit percentage = 100/500 × 100 = 20%."
22,"Quantitative Aptitude","Medium","A number is increased by 20% and becomes 240. Find the original number.","180","190","200","220","C","200","Original number = 240 / 1.2 = 200."
