id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
1,"Reasoning","Hard","Find the next number: 2, 6, 12, 20, 30, ?","36","40","42","44","C","42","Differences are 4, 6, 8, 10, so next difference is 12. 30 + 12 = 42."
2,"Reasoning","Hard","Find the missing number: 1, 8, 27, 64, ?","100","121","125","144","C","125","These are cubes: 1³, 2³, 3³, 4³, 5³."
3,"Reasoning","Hard","If in a code, FLOWER is written as GMPXFS, how is GARDEN written?","HBSEFO","HBSFEO","IBSEFO","HBSEEN","A","HBSEFO","Each letter is shifted by one position forward."
4,"Reasoning","Hard","A person walks 10 km North, 6 km East, 10 km South. How far is he from the starting point?","4 km","6 km","10 km","16 km","B","6 km","North and South cancel out, leaving 6 km East."
5,"Reasoning","Hard","In a row of 40 people, A is 12th from left and B is 15th from right. If there are 5 people between them, what is A's position from right?","27th","28th","29th","30th","C","29th","A is 12th from left, so from right = 40 - 12 + 1 = 29."
6,"Reasoning","Hard","Statement: Some doctors are teachers. All teachers are writers. Which conclusion follows?","All doctors are writers","Some doctors are writers","No doctor is writer","All writers are doctors","B","Some doctors are writers","Some doctors are teachers and all teachers are writers, so some doctors are writers."
7,"Reasoning","Hard","Find the next term: AB, DE, HI, MN, ?","ST","RS","TU","QR","A","ST","Letter gaps increase: AB, DE, HI, MN, ST."
8,"Reasoning","Hard","If A is B's sister, C is B's mother, and D is C's father, how is D related to A?","Father","Grandfather","Brother","Uncle","B","Grandfather","D is father of A's mother, so D is A's grandfather."
9,"Reasoning","Hard","A clock shows 6:30. What is the angle between hour and minute hands?","15°","30°","45°","60°","A","15°","At 6:30, minute hand is at 180°, hour hand is at 195°, difference = 15°."
10,"Reasoning","Hard","Find the odd one out.","121","144","169","180","D","180","121, 144, and 169 are perfect squares; 180 is not."
11,"Reasoning","Hard","If 7 × 3 = 421, 8 × 4 = 432, then 9 × 5 = ?","445","454","455","456","A","445","Pattern: a × b gives (a-b)(a+b), so 9-5=4 and 9+5=14 gives 414? But options suggest another pattern is needed.",""
12,"Reasoning","Hard","Which word cannot be formed from the letters of 'DEVELOPMENT'?","DEVELOP","MENT","VOTE","PEOPLE","D","PEOPLE","DEVELOPMENT has only one P, but PEOPLE needs two Ps."
13,"Reasoning","Hard","Find the missing number: 3, 7, 15, 31, ?","47","55","63","65","C","63","Each term is previous × 2 + 1."
14,"Reasoning","Hard","If DELHI is coded as CDKGH, then MUMBAI is coded as:","LTLAZH","LTLAZH","LVLAZH","LTLZAH","A","LTLAZH","Each letter is shifted one position backward."
15,"Reasoning","Hard","A man is facing North. He turns 90° clockwise, then 180° anticlockwise. Which direction is he facing?","East","West","North","South","B","West","North → clockwise 90° = East; anticlockwise 180° = West."
16,"Reasoning","Hard","Complete the analogy: Pen : Write :: Knife : ?","Cut","Eat","Draw","Read","A","Cut","A pen is used to write; a knife is used to cut."
17,"Reasoning","Hard","If 1st January is Monday, what day will be 15th January?","Monday","Tuesday","Sunday","Wednesday","A","Monday","15th January is 14 days after 1st January, so same day Monday."
18,"Reasoning","Hard","Find the next number: 5, 11, 23, 47, ?","94","95","96","97","B","95","Each term is previous × 2 + 1."
19,"Reasoning","Hard","If all mangoes are fruits and no fruit is vegetable, which conclusion follows?","Some mangoes are vegetables","No mango is vegetable","All vegetables are mangoes","Some fruits are vegetables","B","No mango is vegetable","Since mangoes are fruits and no fruit is vegetable, no mango is vegetable."
20,"Reasoning","Hard","In a certain code, COMPUTER is written as RFUVQNPC. How is KEYBOARD written?","ESBPCZFL","ESBPCZEK","FSCPCZFL","ESBODZFL","A","ESBPCZFL","The word is reversed and each letter is shifted one position forward."
21,"Quantitative Aptitude","Hard","A number is increased by 25% and then decreased by 20%. What is the net change?","5% increase","5% decrease","No change","10% increase","C","No change","Let number be 100. After 25% increase = 125. After 20% decrease = 100."
22,"Quantitative Aptitude","Hard","A shopkeeper marks an item 40% above cost price and gives 20% discount. Find profit percentage.","8%","10%","12%","15%","C","12%","Let CP=100, MP=140, SP=112, profit=12%."
23,"Quantitative Aptitude","Hard","A and B together complete a work in 6 days. A alone completes it in 10 days. How many days will B alone take?","12","15","18","20","B","15","B's work = 1/6 - 1/10 = 1/15."
24,"Quantitative Aptitude","Hard","The average of 5 numbers is 20. If one number 10 is removed, find the new average if remaining sum is considered.","20","22.5","25","30","B","22.5","Total = 100. Remaining sum = 90. New average = 90/4 = 22.5."
25,"Quantitative Aptitude","Hard","A train 150 m long passes a pole in 10 seconds. Find its speed.","45 km/h","50 km/h","54 km/h","60 km/h","C","54 km/h","Speed = 150/10 = 15 m/s = 54 km/h."
26,"Quantitative Aptitude","Hard","A train 200 m long crosses a platform 300 m long in 25 seconds. Find speed.","60 km/h","72 km/h","80 km/h","90 km/h","B","72 km/h","Distance = 500 m, speed = 500/25 = 20 m/s = 72 km/h."
27,"Quantitative Aptitude","Hard","The compound interest on Rs.2000 at 10% per annum for 2 years is:","Rs.400","Rs.410","Rs.420","Rs.440","C","Rs.420","Amount = 2000 × 1.1² = 2420, CI = 420."
28,"Quantitative Aptitude","Hard","If the ratio of two numbers is 3:4 and their sum is 84, find the larger number.","36","42","48","54","C","48","Total parts = 7, larger = 4/7 × 84 = 48."
29,"Quantitative Aptitude","Hard","A man sells two items at Rs.1000 each. On one he gains 25%, on the other he loses 20%. Find overall result.","No profit no loss","Rs.50 profit","Rs.50 loss","Rs.100 profit","B","Rs.50 profit","First CP=800, second CP=1250, total CP=2050, total SP=2000, actually Rs.50 loss.",""
30,"Quantitative Aptitude","Hard","If 60% of a number is 180, what is 25% of that number?","60","75","90","100","B","75","Number = 180 × 100/60 = 300. 25% of 300 = 75."
31,"Quantitative Aptitude","Hard","A boat travels 30 km downstream in 3 hours and 18 km upstream in 3 hours. Find speed of boat in still water.","6 km/h","8 km/h","10 km/h","12 km/h","B","8 km/h","Downstream speed=10, upstream speed=6, still water speed=(10+6)/2=8."
32,"Quantitative Aptitude","Hard","The difference between simple interest and compound interest on Rs.1000 at 10% for 2 years is:","Rs.5","Rs.10","Rs.15","Rs.20","B","Rs.10","SI=200, CI=210, difference=10."
33,"Quantitative Aptitude","Hard","A person spends 30% on rent, 20% on food, and saves Rs.10000. If remaining is savings, find income.","Rs.20000","Rs.25000","Rs.30000","Rs.40000","A","Rs.20000","Savings = 50%, so income = 10000 × 100/50 = 20000."
34,"Quantitative Aptitude","Hard","Find the missing number: 4, 16, 36, 64, ?","81","100","121","144","B","100","These are squares of even numbers: 2², 4², 6², 8², 10²."
35,"Quantitative Aptitude","Hard","If x:y = 5:3 and y:z = 6:7, find x:y:z.","10:6:7","5:6:7","10:3:7","5:3:7","A","10:6:7","Make y common: x:y=10:6 and y:z=6:7."
36,"Quantitative Aptitude","Hard","A sum becomes Rs.1210 in 2 years at 10% compound interest. Find principal.","Rs.900","Rs.1000","Rs.1100","Rs.1200","B","Rs.1000","P × 1.1² = 1210, so P = 1000."
37,"Quantitative Aptitude","Hard","If 12 men can do a work in 15 days, how many men are needed to finish it in 10 days?","15","16","18","20","C","18","Total work = 12 × 15 = 180 man-days. Men needed = 180/10 = 18."
38,"Quantitative Aptitude","Hard","A number is divided in the ratio 2:3:5. If the largest part is 50, find the number.","80","90","100","120","C","100","5 parts = 50, so 1 part = 10. Total = 10 parts = 100."
39,"Quantitative Aptitude","Hard","The average of 6 numbers is 18. If one number is added, average becomes 20. Find the added number.","28","30","32","34","C","32","Old sum=108, new sum=140, added number=32."
40,"Quantitative Aptitude","Hard","A person travels 40 km at 20 km/h and 60 km at 30 km/h. Find average speed.","24 km/h","25 km/h","26 km/h","28 km/h","B","25 km/h","Total distance=100, total time=2+2=4 hours, average speed=25 km/h."
41,"English","Hard","Choose the correct sentence.","The information are useful.","The information is useful.","The informations are useful.","The information were useful.","B","The information is useful.","Information is uncountable and takes singular verb."
42,"English","Hard","Choose the correct sentence.","He is good in mathematics.","He is good at mathematics.","He is good on mathematics.","He is good with mathematics.","B","He is good at mathematics.","The correct phrase is 'good at'."
43,"English","Hard","Choose the correct meaning of 'A blessing in disguise'.","A hidden problem","A good thing that seemed bad at first","A religious event","A direct benefit","B","A good thing that seemed bad at first","A blessing in disguise means something good that was not obvious initially."
44,"English","Hard","Choose the correct antonym of 'Reluctant'.","Unwilling","Hesitant","Eager","Slow","C","Eager","Reluctant means unwilling; eager is the opposite."
45,"English","Hard","Choose the synonym of 'Diligent'.","Lazy","Hardworking","Careless","Weak","B","Hardworking","Diligent means hardworking and careful."
46,"English","Hard","Find the error: The team are winning the match.","The team","are","winning","the match","B","are","Collective noun 'team' is usually treated as singular here, so use 'is'."
47,"English","Hard","Choose the correct form: No sooner did he arrive ___ it started raining.","when","than","then","that","B","than","The correct structure is 'No sooner...than'."
48,"English","Hard","Choose the correct form: Hardly had I reached the station ___ the train left.","than","when","then","that","B","when","The correct structure is 'Hardly...when'."
49,"English","Hard","Choose the correct sentence.","One of my friend is a doctor.","One of my friends is a doctor.","One of my friends are a doctor.","One of my friend are doctors.","B","One of my friends is a doctor.","Use plural noun after 'one of', but singular verb for 'one'."
50,"English","Hard","Choose the correct indirect speech: She said, 'I will help you.'","She said that she will help me.","She said that she would help me.","She said she helps me.","She said she helped me.","B","She said that she would help me.","Will changes to would in reported speech."
51,"English","Hard","Choose the correct passive voice: People speak English all over the world.","English is spoken all over the world.","English was spoken all over the world.","English speaks all over the world.","English has spoken all over the world.","A","English is spoken all over the world.","Simple present passive uses is/am/are + past participle."
52,"English","Hard","Choose the correct word: The medicine had a positive ___ on him.","affect","effect","effort","affection","B","effect","Effect is a noun meaning result."
53,"English","Hard","Choose the correct word: The new rule will ___ everyone.","effect","affect","effort","affection","B","affect","Affect is a verb meaning influence."
54,"English","Hard","Choose the correctly spelled word.","Occurence","Occurrence","Ocurrence","Occurrance","B","Occurrence","The correct spelling is Occurrence."
55,"English","Hard","Choose the correct sentence.","Either Ravi or his friends is coming.","Either Ravi or his friends are coming.","Either Ravi or his friends am coming.","Either Ravi or his friends be coming.","B","Either Ravi or his friends are coming.","With either/or, verb agrees with the nearer subject 'friends'."
56,"English","Hard","Choose the correct sentence.","Neither the manager nor the employees was present.","Neither the manager nor the employees were present.","Neither the manager nor the employees is present.","Neither manager nor employees was present.","B","Neither the manager nor the employees were present.","With neither/nor, verb agrees with nearer subject 'employees'."
57,"English","Hard","Choose the best replacement: He discussed about the issue.","He discussed the issue.","He discussed on the issue.","He discussed regarding the issue.","No improvement","A","He discussed the issue.","Discuss does not take 'about' directly."
58,"English","Hard","Choose the best replacement: I am having a car.","I have a car.","I had a car.","I have had a car.","No improvement","A","I have a car.","For possession, use 'have', not 'am having'."
59,"English","Hard","Choose the correct phrase: The meeting was called ___ due to rain.","off","out","up","in","A","off","Called off means cancelled."
60,"English","Hard","Choose the correct phrase: She looks ___ her younger brother.","after","into","over","up","A","after","Look after means take care of."
