id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
1,Banking Technology,Easy,CBS in banking stands for:,Core Banking Solution,Central Browser Service,Card Billing System,Customer Backup Server,A,Core Banking Solution,CBS centralizes banking operations and customer account access.
2,Banking Technology,Easy,Core banking mainly enables:,Anywhere banking across connected channels,Only one-branch banking,No authentication banking,Only manual registers,A,Anywhere banking across connected channels,CBS enables customers to access services through connected branches and digital channels.
3,Banking Technology,Easy,RBI stands for:,Reserve Bank of India,Retail Banking Interface,Regional Bank Integration,Real-time Banking Institution,A,Reserve Bank of India,RBI is India’s central bank and banking regulator.
4,Banking Technology,Easy,NPCI stands for:,National Payments Corporation of India,National Private Credit Institution,Network Payment Card Interface,National Processing Core India,A,National Payments Corporation of India,NPCI operates major Indian retail payment systems.
5,Banking Technology,Easy,UPI stands for:,Unified Payments Interface,Universal Payment Internet,User Payment Identity,Unified Processing Input,A,Unified Payments Interface,UPI enables instant digital bank-to-bank payments.
6,Digital Payments,Easy,NEFT is used for:,Electronic fund transfer between bank accounts,Printing passbooks,Generating debit card PIN,Creating loan agreement only,A,Electronic fund transfer between bank accounts,NEFT is an electronic funds transfer system.
7,Digital Payments,Easy,RTGS means:,Real Time Gross Settlement,Regular Transfer Gateway System,Retail Transaction General Service,Remote Token Generation System,A,Real Time Gross Settlement,RTGS processes transactions individually in real time.
8,Digital Payments,Easy,IMPS is mainly known for:,Instant interbank fund transfer,Cheque printing,Passbook update only,Loan underwriting only,A,Instant interbank fund transfer,IMPS enables instant electronic money transfer.
9,Digital Payments,Easy,ATM stands for:,Automated Teller Machine,Automatic Transfer Module,Account Transaction Manager,Advanced Token Machine,A,Automated Teller Machine,ATM allows self-service banking transactions.
10,Digital Payments,Easy,POS stands for:,Point of Sale,Payment Online Server,Private Order System,Proof of Settlement,A,Point of Sale,POS is used to accept payments at merchant locations.
11,Cards,Easy,Debit card transactions usually debit:,Customer bank account,Bank profit account,Credit limit only,Merchant wallet first,A,Customer bank account,Debit cards are linked to the customer account balance.
12,Cards,Easy,Credit card transactions use:,Credit limit given by issuer,Only savings account balance,Only fixed deposit amount,Only ATM cash,A,Credit limit given by issuer,Credit card spending is based on credit limit.
13,Cards,Easy,CVV is mainly used for:,Additional card-not-present verification,Generating IFSC,Changing branch,Printing passbook,A,Additional card-not-present verification,CVV adds security for online/card-not-present transactions.
14,Cards,Easy,RuPay is:,An Indian card payment network,A DBMS,A mobile OS,A browser,A,An Indian card payment network,RuPay is India’s domestic card payment network.
15,Banking Technology,Easy,IFSC helps in:,Identifying a bank branch for fund transfer,Generating OTP,Creating CVV,Encrypting passwords only,A,Identifying a bank branch for fund transfer,IFSC routes electronic transfers to the correct branch.
16,Banking Technology,Easy,MICR is mainly used for:,Cheque processing,Mobile app login,UPI PIN change,ATM cash loading,A,Cheque processing,MICR helps machines read cheque details.
17,Digital Banking,Easy,Internet banking is accessed through:,Web portal/browser,Only ATM keypad,Only branch counter,Only cheque leaf,A,Web portal/browser,Internet banking provides banking services through web channels.
