id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
1,"Computer Networks","Easy","What is the main purpose of a computer network?","To connect devices and share data/resources","To only store database records","To only design web pages","To compile programs","A","To connect devices and share data/resources","A computer network connects devices so they can communicate and share resources."
2,"Computer Networks","Easy","How many layers are there in the OSI model?","4","5","7","8","C","7","The OSI model has 7 layers."
3,"Computer Networks","Easy","Which is the lowest layer of the OSI model?","Application layer","Transport layer","Network layer","Physical layer","D","Physical layer","The Physical layer deals with transmission of raw bits over a medium."
4,"Computer Networks","Easy","Which OSI layer is responsible for routing packets between networks?","Data Link layer","Network layer","Session layer","Presentation layer","B","Network layer","The Network layer handles logical addressing and routing."
5,"Computer Networks","Easy","Which OSI layer is responsible for end-to-end delivery?","Transport layer","Physical layer","Application layer","Data Link layer","A","Transport layer","The Transport layer provides end-to-end communication using protocols like TCP and UDP."
6,"Computer Networks","Easy","Which OSI layer is closest to the user?","Application layer","Physical layer","Network layer","Data Link layer","A","Application layer","The Application layer provides network services directly to user applications."
7,"Computer Networks","Easy","TCP stands for:","Transmission Control Protocol","Transfer Connection Port","Transport Control Process","Transmission Code Packet","A","Transmission Control Protocol","TCP is a connection-oriented transport protocol."
8,"Computer Networks","Easy","UDP stands for:","User Datagram Protocol","Unified Data Process","Universal Delivery Port","User Data Path","A","User Datagram Protocol","UDP is a connectionless transport protocol."
9,"Computer Networks","Easy","Which protocol is connection-oriented?","TCP","UDP","IP","ARP","A","TCP","TCP establishes a connection before data transfer."
10,"Computer Networks","Easy","Which protocol is connectionless?","TCP","UDP","HTTPS","SMTP","B","UDP","UDP sends datagrams without establishing a connection."
11,"Computer Networks","Easy","Which protocol is generally more reliable?","UDP","TCP","ARP","ICMP only","B","TCP","TCP provides reliability using acknowledgements, sequencing, and retransmission."
12,"Computer Networks","Easy","Which protocol is usually faster but less reliable?","TCP","UDP","HTTPS","FTP","B","UDP","UDP has lower overhead because it does not provide TCP-like reliability."
