id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
1,DBMS / SQL,Medium,"Which of the following best describes a candidate key?","Any column with duplicate values","A minimal super key that can uniquely identify a row","A key used only for joining tables","A key that always allows NULL values",B,"A minimal super key that can uniquely identify a row","A candidate key is a minimal set of attributes that uniquely identifies a tuple."
2,DBMS / SQL,Medium,"Which statement is true about a super key?","Every super key is a candidate key","Every candidate key is a super key","A super key cannot contain extra attributes","A super key must always be a foreign key",B,"Every candidate key is a super key","A candidate key is a minimal super key, but a super key may contain extra attributes."
3,DBMS / SQL,Medium,"Referential integrity mainly ensures that:","Primary keys can have duplicate values","Foreign key values must match referenced primary key values or be NULL if allowed","Tables cannot have more than one column","Indexes are automatically deleted",B,"Foreign key values must match referenced primary key values or be NULL if allowed","Referential integrity maintains valid relationships between related tables."
4,DBMS / SQL,Medium,"Which SQL clause is evaluated after GROUP BY?","WHERE","FROM","HAVING","JOIN",C,"HAVING","HAVING filters grouped records after GROUP BY is applied."
5,DBMS / SQL,Medium,"What is the output of COUNT(column_name) when some values in that column are NULL?","It counts all rows including NULL","It counts only NULL values","It ignores NULL values","It throws an error",C,"It ignores NULL values","COUNT(column_name) counts only non-NULL values, while COUNT(*) counts all rows."
6,DBMS / SQL,Medium,"Which command removes all rows from a table faster but usually cannot use a WHERE condition?","DELETE","TRUNCATE","UPDATE","SELECT",B,"TRUNCATE","TRUNCATE removes all rows and is generally faster than DELETE, but it does not support conditional deletion."
7,DBMS / SQL,Medium,"Which command removes the complete table structure along with its data?","DELETE","TRUNCATE","DROP","ROLLBACK",C,"DROP","DROP removes the table definition and its data from the database."
8,DBMS / SQL,Medium,"What is the difference between UNION and UNION ALL?","UNION keeps duplicates, UNION ALL removes duplicates","UNION removes duplicates, UNION ALL keeps duplicates","Both always remove duplicates","Both always keep duplicates",B,"UNION removes duplicates, UNION ALL keeps duplicates","UNION returns distinct rows, while UNION ALL includes duplicate rows."
9,DBMS / SQL,Medium,"Which is the correct logical order of SQL query execution?","SELECT, FROM, WHERE, GROUP BY, HAVING, ORDER BY","FROM, WHERE, GROUP BY, HAVING, SELECT, ORDER BY","WHERE, FROM, SELECT, GROUP BY, ORDER BY, HAVING","ORDER BY, SELECT, FROM, WHERE, GROUP BY, HAVING",B,"FROM, WHERE, GROUP BY, HAVING, SELECT, ORDER BY","SQL is logically processed from FROM, then WHERE, grouping, filtering groups, selecting columns, and ordering."
10,DBMS / SQL,Medium,"In a LEFT JOIN, if there is no matching row in the right table, what happens?","The left table row is removed","The right table columns show NULL","The query fails","The left table columns show NULL",B,"The right table columns show NULL","LEFT JOIN preserves all rows from the left table and fills unmatched right table columns with NULL."
