mock_id,question_id,section_order,section,topic,subtopic,difficulty,question_type,marks,negative_marks,time_limit_seconds,question,option_a,option_b,option_c,option_d,option_e,correct_option,correct_answer,explanation
FULL_MOCK_5,1,1,English Language,English,Grammar,Medium,Sentence correction,1,-0.25,60,Choose the correct sentence.,He were my friend.,He be my friend.,He are my friend.,He is my friend.,He am my friend.,D,He is my friend.,The singular subject He takes is.
FULL_MOCK_5,2,1,English Language,English,Grammar,Medium,Sentence correction,1,-0.25,60,Choose the correct sentence.,She were a pen.,She having a pen.,She had have a pen.,She have a pen.,She has a pen.,E,She has a pen.,Singular subject She takes has.
FULL_MOCK_5,3,1,English Language,English,Grammar,Medium,Sentence correction,1,-0.25,60,Choose the correct sentence.,I having car.,I am having a car.,I were having car.,I have a car.,I has a car.,D,I have a car.,"For possession, use have."
FULL_MOCK_5,4,1,English Language,English,Grammar,Medium,Sentence correction,1,-0.25,60,Choose the correct sentence.,The work is completed by them yesterday.,The work has complete by them.,The work completed by them.,The work was completed by them.,The work were completed by them.,D,The work was completed by them.,Past passive uses was/were + past participle.
FULL_MOCK_5,5,1,English Language,English,Grammar,Medium,Sentence correction,1,-0.25,60,Choose the correct active voice: The letter was written by Ravi.,Ravi has written the letter.,Ravi wrote the letter.,Ravi writes the letter.,Ravi was write the letter.,Ravi is writing the letter.,B,Ravi wrote the letter.,Past passive becomes simple past active.
FULL_MOCK_5,6,1,English Language,English,Grammar,Medium,Sentence correction,1,-0.25,60,"Choose the correct indirect speech: He said, ""I am tired.""",He said that I was tired.,He said that he was tired.,He said that he is tired.,He said he tired.,He says that he was tired.,B,He said that he was tired.,Present tense changes to past in reported speech.
FULL_MOCK_5,7,1,English Language,English,Grammar,Medium,Sentence correction,1,-0.25,60,Choose the correct passive voice: People speak English all over the world.,English was spoken all over the world.,English has spoken all over the world.,English is spoken all over the world.,English is speaking all over the world.,English speaks all over the world.,C,English is spoken all over the world.,Simple present passive uses is/am/are + past participle.
FULL_MOCK_5,8,1,English Language,English,Grammar,Medium,Sentence correction,1,-0.25,60,Choose the best replacement: He discussed about the issue.,He discussed over the issue.,He discussed regarding the issue.,No improvement,He discussed the issue.,He discussed on the issue.,D,He discussed the issue.,Discuss does not take about directly.
FULL_MOCK_5,9,1,English Language,English,Grammar,Medium,Sentence correction,1,-0.25,60,Choose the correct spelling.,Acommodation,Accommodation,Acomodation,Accommadation,Accomodation,B,Accommodation,The correct spelling is Accommodation.
FULL_MOCK_5,10,1,English Language,English,Grammar,Medium,Sentence correction,1,-0.25,60,Choose the correct spelling.,Occurrence,Occurence,Occurance,Occurrance,Ocurrence,A,Occurrence,The correct spelling is Occurrence.
FULL_MOCK_5,11,1,English Language,English,Grammar,Medium,Sentence correction,1,-0.25,60,Choose the correct spelling.,Receive,Receeve,Recieve,Receve,Recevie,A,Receive,The correct spelling is Receive.
