mock_id,question_id,section_order,section,topic,subtopic,difficulty,question_type,marks,negative_marks,time_limit_seconds,question,option_a,option_b,option_c,option_d,option_e,correct_option,correct_answer,explanation
FULL_MOCK_1,1,1,English Language,English,Vocabulary,Easy,Fill in the blank,1,-0.25,60,He quickly glanced ___ the report to find the required figure.,at,through,in,to,over,B,through,"The correct phrase is ""glanced through"" when looking quickly through written material."
FULL_MOCK_1,2,1,English Language,English,Vocabulary,Easy,Synonym,1,-0.25,60,"Choose the word nearest in meaning to ""LETHAL"".",light,dangerous,deadly,careless,ordinary,C,deadly,Lethal means deadly or capable of causing death.
FULL_MOCK_1,3,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,"Choose the word opposite in meaning to ""RELUCTANT"".",unwilling,hesitant,eager,slow,careful,C,eager,Reluctant means unwilling; eager is the opposite.
FULL_MOCK_1,4,1,English Language,English,Grammar,Easy,Sentence correction,1,-0.25,60,Choose the grammatically correct sentence.,Each of the students have submitted the form.,Each of the students has submitted the form.,Each students has submitted the form.,Each of student have submitted the form.,Each of the students are submitted the form.,B,Each of the students has submitted the form.,Each is singular and takes the singular verb has.
FULL_MOCK_1,5,1,English Language,English,Spelling,Easy,Spelling,1,-0.25,60,Choose the correctly spelled word.,Accomodation,Acommodation,Accommodation,Accommadation,Acommodetion,C,Accommodation,The correct spelling is Accommodation.
FULL_MOCK_1,6,1,English Language,English,Grammar,Medium,Error spotting,1,-0.25,60,Find the part with an error: Neither of the two files / were uploaded / before the deadline / yesterday.,Neither of the two files,were uploaded,before the deadline,yesterday,No error,B,were uploaded,"Neither is singular, so the verb should be was uploaded."
FULL_MOCK_1,7,1,English Language,English,Grammar,Easy,Preposition,1,-0.25,60,Fill in the blank: The committee has agreed ___ the proposal.,with,to,on,for,by,B,to,The standard usage is agreed to a proposal.
FULL_MOCK_1,8,1,English Language,English,Grammar,Medium,Sentence improvement,1,-0.25,60,"Choose the best replacement: ""He discussed about the issue with the manager.""",discussed the issue,discussed on the issue,discussed regarding the issue,discussed for the issue,No improvement,A,discussed the issue,Discuss is a transitive verb and does not take about directly.
FULL_MOCK_1,9,1,English Language,English,Vocabulary,Medium,Idiom,1,-0.25,60,"What does the idiom ""a blessing in disguise"" mean?",A hidden danger,A good thing that seemed bad at first,A religious ceremony,A direct reward,A false promise,B,A good thing that seemed bad at first,The idiom means something that initially looked bad but turned out good.
FULL_MOCK_1,10,1,English Language,English,Grammar,Medium,Voice,1,-0.25,60,"Choose the correct passive voice: ""The team completed the audit.""",The audit completed by the team.,The audit was completed by the team.,The audit is completed by the team.,The audit has complete by the team.,The audit had completing by the team.,B,The audit was completed by the team.,Simple past active becomes was/were + past participle in passive voice.
