mock_id,question_id,section_order,section,topic,subtopic,difficulty,question_type,marks,negative_marks,time_limit_seconds,question,option_a,option_b,option_c,option_d,option_e,correct_option,correct_answer,explanation
FULL_MOCK_4,1,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,She ___ to office every day.,gone,going,goes,went,go,C,goes,Subject-verb agreement
FULL_MOCK_4,2,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,Neither of the answers ___ correct.,have,are,be,is,were,D,is,Neither is treated as singular.
FULL_MOCK_4,3,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,Each of the students ___ submitted the form.,has,are,were,have,having,A,has,Each takes a singular verb.
FULL_MOCK_4,4,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,He has been working here ___ 2020.,since,during,from,by,for,A,since,Use since for a starting point of time.
FULL_MOCK_4,5,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,She has been waiting ___ two hours.,from,by,at,since,for,E,for,Use for with duration.
FULL_MOCK_4,6,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,I prefer tea ___ coffee.,over than,from,than,to,against,D,to,The correct expression is prefer X to Y.
FULL_MOCK_4,7,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,The book is kept ___ the table.,in,into,by,at,on,E,on,Use on for surface position.
FULL_MOCK_4,8,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,He is good ___ mathematics.,with,on,at,in,for,C,at,The correct phrase is good at.
FULL_MOCK_4,9,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,No sooner did he arrive ___ it started raining.,that,as,then,than,when,D,than,Use no sooner...than.
FULL_MOCK_4,10,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,Hardly had I reached the station ___ the train left.,than,when,that,as,then,B,when,Use hardly...when.
FULL_MOCK_4,11,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,I am looking forward ___ meeting you.,with,to,at,for,on,B,to,Looking forward to is the correct phrase.
FULL_MOCK_4,12,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,One of my ___ is a doctor.,friending,friendes,friends,friend,friendly,C,friends,One of is followed by a plural noun.
FULL_MOCK_4,13,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,The information ___ useful.,is,were,are,be,have,A,is,Information is uncountable and takes singular verb.
FULL_MOCK_4,14,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,Either Ravi or his friends ___ coming.,be,is,was,are,am,D,are,"With either/or, the verb agrees with the nearer subject."
FULL_MOCK_4,15,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,Neither the manager nor the employees ___ present.,be,were,was,is,has,B,were,"With neither/nor, the verb agrees with the nearer subject."
FULL_MOCK_4,16,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,The manager gave me useful ___.,advises,adviced,advices,advise,advice,E,advice,Advice is an uncountable noun.
FULL_MOCK_4,17,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,She is senior ___ me.,over,from,than,with,to,E,to,The correct phrase is senior to.
FULL_MOCK_4,18,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,The meeting was called ___ due to rain.,out,over,up,off,in,D,off,Called off means cancelled.
FULL_MOCK_4,19,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,She looks ___ her younger brother.,into,over,up,for,after,E,after,Look after means take care of.
FULL_MOCK_4,20,1,English Language,English,Grammar,Easy,Fill in the blank,1,-0.25,60,I ___ completed my work.,was,has,are,is,have,E,have,Use have with I in present perfect.
FULL_MOCK_4,21,2,Professional Knowledge,DBMS / SQL,Database Concepts,Medium,Concept,2,-0.5,60,Which term best matches this description: an aggregate that counts only non-NULL values in a column?,COUNT(column),Savepoint,COMMIT,Dirty read,Clustered index,A,COUNT(column),COUNT(column) means an aggregate that counts only non-NULL values in a column.
FULL_MOCK_4,22,2,Professional Knowledge,Computer Networks / Operating System,Networks and OS,Easy,Concept,2,-0.5,60,Which term best matches this description: protocol that maps IP addresses to MAC addresses?,IPv6,UDP,Port 22,ARP,Semaphore,D,ARP,ARP means protocol that maps IP addresses to MAC addresses.
FULL_MOCK_4,23,2,Professional Knowledge,Security,Advanced Security,Easy,Concept,2,-0.5,60,Which term best matches this description: checking user input against expected rules before processing?,Rate limiting,IPS,Input validation,OAuth,Stored XSS,C,Input validation,Input validation means checking user input against expected rules before processing.
FULL_MOCK_4,24,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Web Development,Medium,Concept,2,-0.5,60,Which term best matches this description: a browser security mechanism for cross-origin requests?,204 No Content,CORS,Isolated scope,Same-Origin Policy,ETag,B,CORS,CORS means a browser security mechanism for cross-origin requests.
FULL_MOCK_4,25,2,Professional Knowledge,DBMS / SQL,Database Concepts,Easy,Concept,2,-0.5,60,Which term best matches this description: SQL command category used to manipulate table data?,DML,Partial dependency,Durability,SQL HAVING vs WHERE,Dirty read,A,DML,DML means SQL command category used to manipulate table data.
FULL_MOCK_4,26,2,Professional Knowledge,Security,Advanced Security,Easy,Concept,2,-0.5,60,Which term best matches this description: attack trying many possible credentials repeatedly?,XSS,IDS,Brute force attack,Least privilege,Digital signature,C,Brute force attack,Brute force attack means attack trying many possible credentials repeatedly.
FULL_MOCK_4,27,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Web Development,Medium,Concept,2,-0.5,60,Which term best matches this description: a directive scope that does not directly inherit parent properties unless bound?,Isolated scope,422 Unprocessable Entity,Tree shaking,Hoisting,Digest cycle,A,Isolated scope,Isolated scope means a directive scope that does not directly inherit parent properties unless bound.
FULL_MOCK_4,28,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Web Development,Easy,Concept,2,-0.5,60,Which term best matches this description: a status code where authentication exists but permission is denied?,Debouncing,403 Forbidden,SameSite cookie,GraphQL,Microtask queue,B,403 Forbidden,403 Forbidden means a status code where authentication exists but permission is denied.
FULL_MOCK_4,29,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Web Development,Medium,Concept,2,-0.5,60,Which term best matches this description: delaying execution until frequent events stop firing?,Debouncing,403 Forbidden,422 Unprocessable Entity,Cache-Control,Event bubbling,A,Debouncing,Debouncing means delaying execution until frequent events stop firing.
FULL_MOCK_4,30,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Advanced Web,Medium,Concept,2,-0.5,60,Which term best matches this description: API query language allowing clients to request specific data shape?,PATCH,API Gateway,SameSite cookie,GraphQL,Idempotency,D,GraphQL,GraphQL means API query language allowing clients to request specific data shape.
FULL_MOCK_4,31,2,Professional Knowledge,OOP / Software Engineering,Software Engineering,Easy,Concept,2,-0.5,60,Which term best matches this description: testing interaction between combined modules?,Regression testing,Interface,Integration testing,Refactoring,Aggregation,C,Integration testing,Integration testing means testing interaction between combined modules.
FULL_MOCK_4,32,2,Professional Knowledge,DSA / Banking / Cloud / Programming,Mixed Professional,Medium,Concept,2,-0.5,60,Which term best matches this description: global messaging network for international banking communication?,SWIFT,CBS account number,IMPS,Linked list,Greedy algorithm,A,SWIFT,SWIFT means global messaging network for international banking communication.
FULL_MOCK_4,33,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Web Development,Easy,Concept,2,-0.5,60,Which term best matches this description: an object representing eventual completion or failure of async work?,localStorage,Promise,$scope,Closure,CORS,B,Promise,Promise means an object representing eventual completion or failure of async work.
FULL_MOCK_4,34,2,Professional Knowledge,OOP / Software Engineering,Software Engineering,Easy,Concept,2,-0.5,60,Which term best matches this description: reusing properties and behavior from a parent class?,Polymorphism,CI/CD,Inheritance,Agile,Dynamic testing,C,Inheritance,Inheritance means reusing properties and behavior from a parent class.
FULL_MOCK_4,35,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Web Development,Easy,Concept,2,-0.5,60,Which term best matches this description: the object tree representation of an HTML document?,401 Unauthorized,DOM,ng-show,async function,$watch,B,DOM,DOM means the object tree representation of an HTML document.
FULL_MOCK_4,36,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Web Development,Easy,Concept,2,-0.5,60,Which term best matches this description: an HTTP method used to retrieve data?,GET,Preflight request,Critical rendering path,409 Conflict,401 Unauthorized,A,GET,GET means an HTTP method used to retrieve data.
FULL_MOCK_4,37,2,Professional Knowledge,DBMS / SQL,Database Advanced,Medium,Concept,2,-0.5,60,Which term best matches this description: an index structure separate from the table data order?,Non-clustered index,Transitive dependency,WHERE,1NF,Phantom read,A,Non-clustered index,Non-clustered index means an index structure separate from the table data order.
FULL_MOCK_4,38,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Web Development,Medium,Concept,2,-0.5,60,Which term best matches this description: a status code for request conflict with current resource state?,Strict equality,409 Conflict,HttpOnly cookie,WebSocket,DELETE,B,409 Conflict,409 Conflict means a status code for request conflict with current resource state.
FULL_MOCK_4,39,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Web Development,Medium,Concept,2,-0.5,60,Which term best matches this description: a status code for rate limit violation?,204 No Content,$http,429 Too Many Requests,Accept,WebSocket,C,429 Too Many Requests,429 Too Many Requests means a status code for rate limit violation.
FULL_MOCK_4,40,2,Professional Knowledge,OOP / Software Engineering,Software Engineering,Medium,Concept,2,-0.5,60,Which term best matches this description: principle that child classes should substitute parent classes safely?,LSP,Constructor,Dynamic testing,Class,OCP,A,LSP,LSP means principle that child classes should substitute parent classes safely.
FULL_MOCK_4,41,2,Professional Knowledge,DSA / Banking / Cloud / Programming,Mixed Professional,Medium,Concept,2,-0.5,60,Which term best matches this description: algorithm making locally optimal choices at each step?,Minimum spanning tree,NACH,Stable sorting,Horizontal scaling,Greedy algorithm,E,Greedy algorithm,Greedy algorithm means algorithm making locally optimal choices at each step.
FULL_MOCK_4,42,2,Professional Knowledge,DSA / Banking / Cloud / Programming,Cloud DevOps Programming,Medium,Concept,2,-0.5,60,Which term best matches this description: testing system performance under expected load?,Merge sort,Collision in hashing,Payment gateway,Load testing,UPI,D,Load testing,Load testing means testing system performance under expected load.
