mock_id,question_id,section_order,section,topic,subtopic,difficulty,question_type,marks,negative_marks,time_limit_seconds,question,option_a,option_b,option_c,option_d,option_e,correct_option,correct_answer,explanation
FULL_MOCK_6,1,1,English Language,English,Grammar,Medium,Error spotting,1,-0.25,60,Find the error: She do not like coffee.,coffee,No error,like,She,do not,E,do not,"With she, use does not."
FULL_MOCK_6,2,1,English Language,English,Grammar,Medium,Error spotting,1,-0.25,60,Find the error: He is senior than me.,He,senior than,No error,is,me,B,senior than,The correct phrase is senior to.
FULL_MOCK_6,3,1,English Language,English,Grammar,Medium,Fill in the blank,1,-0.25,60,"If I were rich, I ___ travel the world.",will,must,would,shall,can,C,would,Second conditional uses would.
FULL_MOCK_6,4,1,English Language,English,Vocabulary,Medium,One-word substitute,1,-0.25,60,A person who writes poems is called a ___.,Novelist,Editor,Poet,Author,Painter,C,Poet,A poet writes poems.
FULL_MOCK_6,5,1,English Language,English,Vocabulary,Medium,Idiom,1,-0.25,60,"The phrase ""once in a blue moon"" means:",very quickly,very rarely,very loudly,very often,very clearly,B,very rarely,Once in a blue moon means rarely.
FULL_MOCK_6,6,1,English Language,English,Grammar,Medium,Fill in the blank,1,-0.25,60,The sun rises ___ the east.,in,on,from,by,at,A,in,The correct phrase is in the east.
FULL_MOCK_6,7,1,English Language,English,Grammar,Medium,Fill in the blank,1,-0.25,60,He is capable ___ solving the issue.,for,of,by,with,to,B,of,The correct phrase is capable of.
FULL_MOCK_6,8,1,English Language,English,Grammar,Medium,Sentence correction,1,-0.25,60,Choose the correct sentence.,The data were analyze.,The data has analyzing.,The data is being analyzed always.,The data are being analyzed.,The datas are analyzed.,D,The data are being analyzed.,"In formal usage, data is often plural and takes are."
FULL_MOCK_6,9,1,English Language,English,Vocabulary,Medium,Synonym,1,-0.25,60,"Choose the synonym of ""essential"".",Optional,Extra,Necessary,Weak,Rare,C,Necessary,Essential means necessary.
FULL_MOCK_6,10,1,English Language,English,Vocabulary,Medium,Antonym,1,-0.25,60,"Choose the antonym of ""temporary"".",Brief,Permanent,Recent,Limited,Short,B,Permanent,Permanent is opposite to temporary.
FULL_MOCK_6,11,1,English Language,English,Grammar,Medium,Fill in the blank,1,-0.25,60,The committee ___ divided in its opinion.,is,have,were,are,be,A,is,Committee is treated as a collective singular here.
FULL_MOCK_6,12,1,English Language,English,Grammar,Medium,Fill in the blank,1,-0.25,60,He succeeded ___ hard work.,from,on,through,at,by,C,through,Succeeded through hard work is appropriate here.
FULL_MOCK_6,13,1,English Language,English,Grammar,Medium,Sentence correction,1,-0.25,60,Choose the correct sentence.,Less peoples attended meeting.,Fewer people attended the meeting.,Few people attends the meeting.,Less people attended the meeting.,Fewer people attends the meeting.,B,Fewer people attended the meeting.,Use fewer for countable nouns.
FULL_MOCK_6,14,1,English Language,English,Vocabulary,Medium,Antonym,1,-0.25,60,"Choose the antonym of ""optimistic"".",Confident,Cheerful,Positive,Hopeful,Pessimistic,E,Pessimistic,Pessimistic is opposite to optimistic.
FULL_MOCK_6,15,1,English Language,English,Vocabulary,Medium,Synonym,1,-0.25,60,"Choose the synonym of ""verify"".",Deny,Confirm,Delay,Ignore,Hide,B,Confirm,Verify means confirm or check.
FULL_MOCK_6,16,1,English Language,English,Grammar,Medium,Fill in the blank,1,-0.25,60,He congratulated me ___ my success.,with,for,to,on,at,D,on,The correct phrase is congratulate someone on something.
FULL_MOCK_6,17,1,English Language,English,Grammar,Medium,Sentence correction,1,-0.25,60,Choose the correct sentence.,She is interested in learning Java.,She interested in learning Java.,She is interested for learning Java.,She is interest in learning Java.,She is interested to learning Java.,A,She is interested in learning Java.,Interested in is the correct phrase.
FULL_MOCK_6,18,1,English Language,English,Vocabulary,Medium,Spelling,1,-0.25,60,Choose the correctly spelled word.,Neccesary,Necessery,Necesary,Necessary,Neccessary,D,Necessary,The correct spelling is Necessary.
FULL_MOCK_6,19,1,English Language,English,Vocabulary,Medium,Spelling,1,-0.25,60,Choose the correctly spelled word.,Definitely,Defanitely,Definatly,Definately,Definetely,A,Definitely,The correct spelling is Definitely.
FULL_MOCK_6,20,1,English Language,English,Grammar,Medium,Fill in the blank,1,-0.25,60,The report is different ___ the previous one.,from,to,by,than,with,A,from,The standard phrase is different from.
FULL_MOCK_6,21,2,Professional Knowledge,DSA / Banking / Cloud / Programming,Cloud DevOps Programming,Medium,Concept,2,-0.5,60,Which term best matches this description: asynchronous communication mechanism between services?,Chaining,Stack,Space complexity,SaaS,Message queue,E,Message queue,Message queue means asynchronous communication mechanism between services.
FULL_MOCK_6,22,2,Professional Knowledge,Security,Application Security,Medium,Concept,2,-0.5,60,Which term best matches this description: a broken access control issue where users access objects by changing identifiers?,IDOR,HSTS,IPS,WAF,Digital signature,A,IDOR,IDOR means a broken access control issue where users access objects by changing identifiers.
