id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
1,"OOP","Easy","What is a class in object-oriented programming?","A runtime instance","A blueprint for creating objects","A database table","A testing method","B","A blueprint for creating objects","A class defines properties and methods used to create objects."
2,"OOP","Easy","What is an object?","A blueprint","An instance of a class","A type of loop","A database key","B","An instance of a class","An object is a real instance created from a class."
3,"OOP","Easy","Which OOP concept hides internal data and exposes only required operations?","Inheritance","Encapsulation","Polymorphism","Compilation","B","Encapsulation","Encapsulation binds data and methods together and restricts direct access."
4,"OOP","Easy","Which OOP concept allows one class to acquire properties of another class?","Abstraction","Inheritance","Encapsulation","Overloading","B","Inheritance","Inheritance allows a child class to reuse fields and methods of a parent class."
5,"OOP","Easy","Polymorphism means:","One function with only one behavior","Ability to take multiple forms","Hiding all methods","Deleting objects automatically","B","Ability to take multiple forms","Polymorphism allows the same interface or method to behave differently."
6,"OOP","Easy","Abstraction mainly focuses on:","Showing implementation details","Hiding implementation details and showing essential features","Copying one object into another","Removing constructors","B","Hiding implementation details and showing essential features","Abstraction exposes what an object does while hiding how it does it."
7,"OOP","Easy","Method overloading means:","Same method name with different parameters","Same method name and same parameters in child class","Deleting a method","Calling a private method","A","Same method name with different parameters","Overloading uses the same method name with different parameter lists."
8,"OOP","Easy","Method overriding means:","Same method name with different parameters in same class","Child class provides its own implementation of parent class method","Changing variable name","Creating multiple constructors only","B","Child class provides its own implementation of parent class method","Overriding allows a subclass to redefine an inherited method."
9,"OOP","Easy","Which is an example of compile-time polymorphism?","Method overriding","Method overloading","Dynamic dispatch","Runtime binding","B","Method overloading","Method overloading is usually resolved at compile time."
10,"OOP","Easy","Which is an example of runtime polymorphism?","Method overloading","Method overriding","Constructor overloading only","Variable declaration","B","Method overriding","Method overriding is resolved at runtime based on the actual object."
11,"OOP","Easy","A constructor is used to:","Destroy an object","Initialize an object","Create a database table","Execute SQL queries","B","Initialize an object","A constructor runs when an object is created and initializes its state."
12,"OOP","Easy","Which access modifier usually allows access only within the same class?","public","private","protected","global","B","private","private members are accessible only inside the same class."
13,"OOP","Easy","Which access modifier allows access from anywhere?","private","protected","public","internal only","C","public","public members can be accessed from outside the class."
