id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
1,"REST API","Medium","Which HTTP methods are generally considered safe because they should not modify server state?","GET and HEAD","POST and PATCH","PUT and DELETE","POST and DELETE","A","GET and HEAD","Safe methods are intended for retrieval and should not change server state."
2,"REST API","Medium","Which HTTP method is usually not idempotent?","GET","PUT","POST","DELETE","C","POST","POST often creates a new resource each time, so repeated requests may create duplicates."
3,"REST API","Medium","Which HTTP methods are generally idempotent when implemented correctly?","GET, PUT, DELETE","POST only","PATCH only always","CONNECT only","A","GET, PUT, DELETE","Repeating these requests should result in the same final server state when correctly implemented."
4,"REST API","Medium","What is the best status code for successful DELETE when no response body is returned?","200","201","204","400","C","204","204 No Content indicates success without a response body."
5,"REST API","Medium","Which status code is suitable when a request conflicts with current resource state?","409","401","500","301","A","409","409 Conflict is used when the request conflicts with the current state of a resource."
6,"REST API","Medium","What does HTTP 429 indicate?","Unauthorized","Too Many Requests","Resource Created","Unsupported Media Type","B","Too Many Requests","429 is used when the client has exceeded rate limits."
7,"REST API","Medium","What does HTTP 415 indicate?","Unsupported Media Type","Not Found","Forbidden","Gateway Timeout","A","Unsupported Media Type","415 means the request body media type is not supported."
8,"REST API","Medium","Which status code is commonly used when validation fails for submitted input?","201","422","301","204","B","422","422 Unprocessable Entity is commonly used when syntax is correct but validation fails."
9,"REST API","Medium","What is pagination used for in APIs?","To split large result sets into smaller pages","To encrypt API data","To replace authentication","To remove all query parameters","A","To split large result sets into smaller pages","Pagination improves performance and usability for large datasets."
10,"REST API","Medium","Which is a better RESTful endpoint for getting a user with ID 10?","/getUser?id=10","/users/10","/user_get_10","/fetch-user-now","B","/users/10","RESTful APIs usually model resources using nouns and identifiers in the path."
11,"REST API","Medium","Which is a better RESTful endpoint for listing orders of user 10?","/users/10/orders","/getOrdersForUserNow","/ordersUserFetch","/apiCallOrders","A","/users/10/orders","Nested resource URLs can clearly represent relationships."
12,"REST API","Medium","Why should REST API endpoints usually use nouns instead of verbs?","HTTP methods already describe the action","Nouns are always shorter","Verbs cannot be used in URLs","Browsers block verbs","A","HTTP methods already describe the action","GET, POST, PUT, PATCH, and DELETE describe actions; URLs identify resources."
13,"REST API","Medium","Which header is commonly used to send bearer tokens?","Authorization","Content-Type","Accept","Cache-Control","A","Authorization","Authorization header commonly carries bearer tokens like JWTs."
14,"REST API","Medium","What does Authorization: Bearer <token> mean?","The client presents a token to access protected resources","The request is always public","The password is encrypted in URL","The API ignores authentication","A","The client presents a token to access protected resources","Bearer authentication grants access to whoever presents a valid token."
15,"REST API","Medium","Which approach is better for API versioning?","Changing response randomly","Using a clear versioning strategy like /v1 or version header","Removing all old APIs immediately","Using only frontend variable names","B","Using a clear versioning strategy like /v1 or version header","API versioning helps maintain backward compatibility when APIs evolve."
